Category,Subcategory,NotificationTime,Status,NotificationTitle,Text
kindle_recommends,Not Available,2025-10-21T16:48,unread,Last chance to borrow,Borrow these great reads before they leave.
kindle_recommends,Not Available,2025-10-18T08:26,unread,New & notable reads,Explore exciting new arrivals in Kindle Unlimited.
kindle_recommends,Not Available,2025-10-17T07:00,unread,Trending for you in Romance,Your Romance best sellers are here
kindle_recommends,Not Available,2025-10-16T18:00,unread,Deal for you,"A book by an author whose work you’ve read before, “The Lost Husband: A Novel” by Katherine Center is on sale for a limited time."
kindle_recommends,Not Available,2025-10-15T17:00,unread,New Crime,"""The Rebel Son"" by Andy Maslen."
tips,Not Available,2025-10-15T00:05,unread,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-10-14T17:00,unread,New Thriller,"""The Tourists"" by Christopher Reich."
tips,Not Available,2025-10-12T00:05,unread,Kudos from the Kindle team!,The Bibliophile achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-10-10T07:00,unread,Trending for you in Romance,Your Romance best sellers are here
kindle_recommends,Not Available,2025-10-09T17:00,unread,New Mystery,"""Sisters Before Misters"" by Amelia Diane Coombs."
kindle_recommends,Not Available,2025-10-08T17:00,unread,New for you,"A book by an author you follow, ""Mate"" by Ali Hazelwood, was just released."
kindle_recommends,Not Available,2025-10-07T07:00,unread,Still thinking about this book?,"""Scary In Love: A spooky, spicy…"" by Holly June Smith"
tips,Not Available,2025-10-06T07:05,unread,Prime Perfection!,The Pumpkin Prime achievement is yours. Tap to see.
tips,Not Available,2025-10-05T00:05,unread,The Bookworm achievement is yours!,"Tap to see your new achievement. Next up, Bibliophile."
tips,Not Available,2025-10-05T00:05,unread,"Way to go, goal setter! ",You just got closer to reaching your 2025 reading goal. Check your progress now.
kindle_recommends,Not Available,2025-10-04T17:00,unread,What to read next,"After you read ""He's Not My Type,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-10-04T17:00,unread,New Romance,"""Dating After the End of the World"" by Jeneva Rose."
kindle_recommends,Not Available,2025-10-02T17:00,unread,What to read next,"After you read ""Right Man, Right Time,"" find a new book in your recommendations."
tips,Not Available,2025-10-02T07:05,unread,"Every day counts, keep going!",The Perfect Week achievement is within sight. See your progress.
kindle_recommends,Not Available,2025-10-02T00:16,unread,Limited time,Earn 2x Kindle Points on Kindle books purchased October 1-3. Learn more. 
kindle_recommends,Not Available,2025-10-01T19:00,unread,"""Onyx Storm"" is here",Read Rebecca Yarros' Empyrean saga with your membership.
kindle_recommends,Not Available,2025-10-01T17:00,unread,What to read next,"After you read ""Those Three Little Words,"" find a new book in your recommendations."
tips,Not Available,2025-10-01T07:05,unread,You collected a Head Start achievement!,Keep reading to earn more. Tap to see.
kindle_recommends,Not Available,2025-09-30T17:00,unread,New for you,"A book by an author whose work you've read before, “Every Spiral of Fate” by Tahereh Mafi, was just released."
tips,Not Available,2025-09-30T07:05,unread,You read every day for a month! ,The Perfect Month achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-09-28T17:00,unread,What to read next,"After you read ""The Soulmate Equation,"" find a new book in your recommendations."
kindle_recommends,Not Available,2025-09-28T07:00,unread,Still thinking about this book?,"""Kiss and Don't Tell"" by Meghan Quinn"
kindle_recommends,Not Available,2025-09-27T07:00,unread,New for you in Kindle Unlimited,Explore Romance titles just added to Kindle Unlimited
tips,Not Available,2025-09-27T05:56,unread,You're on a reading streak! ,The Perfect Week achievement is yours. Tap to see.
kindle_recommends,Not Available,2025-09-26T17:00,unread,Celebrity picks,Recent books that star authors are delving into.
kindle_recommends,Not Available,2025-09-26T17:00,unread,Last Chance,Don’t forget to choose your First Reads book this month.
kindle_recommends,Not Available,2025-09-25T17:00,unread,Coming Soon for You,"A book by an author you follow, ""Mate"" by Ali Hazelwood, is coming out soon."
